original,disfluent,generated_text
The former speaker of Parliament is whom?,Who is the current speaker of Parliament no sorry the former speaker?,Who is the former speaker of Parliament?
What rises during early slow-wave-sleep stage?,What rises when differentiated no during early slow-wave-sleep stage?,What rises during early slow-wave-sleep stage?
 How did Turabi build a weak economic base?,"How did General Gaafar al-Nimeiry, oh my bad I mean, Turabi build a weak economic base?",How did Turabi build a weak economic base?
What act sets forth the functions of the Scottish Parliament?,Who granted erm what act sets forth the functions of the Scottish Parliament?,What act sets forth the functions of the Scottish Parliament?
Which border does the Rhine flow from the south?,From where no actually tell me which border does the Rhine flow from the south?,Which border does the Rhine flow from the south?
 How did Chinese medicine stay in one place?,Where did or no make that how did Chinese medicine stay in one place?,How did Chinese medicine stay in one place?
What are horizontal layers of sand called?,"What are vertical, no wait, horizontal layers of sand called?",What are horizontal layers of sand called?
What pushes businesses to decrease pressures on workers?,What pushes capital no um businesses to decrease pressures on workers?,What pushes businesses to decrease pressures on workers?
"If a and q are coprime, which theorem holds that an arithmetic progression has an infinite number of wraps?","If a and q are coprime, when does no which theorem holds that an arithmetic progression has an infinite number of wraps?",What theorem holds that an arithmetic progression has an infinite number of wraps?
What must an attorney adhere to?,What must a project no an attorney adhere to?,What must an attorney adhere to?
What is another country that doesn't permit physicians to give out drugs from within their practice?,"Where are some, uh no, what is another country that doesn't permit physicians to give out drugs from within their practice?",What is another country that doesn't permit physicians to give out drugs from within their practice?
What does child well-being in poor countries correlate most to?,How does no make that what does child well-being in poor countries correlate most to?,What does child well-being in poor countries correlate most to?
"If two thirds of the Rhine flows through the Maas, where doe the other one third flow through?","If two thirds of the Rhine flows through the Ijssel or wait the Maas, where does the other one third flow through?","If two thirds of the Rhine flows through the Maas, where does the other one third flow through?"
